model,rating,games,wins,draws
baseline_league_ppo_real (score reward)_checkpoint_12500000.pth,2467.57,7840,7214,50
baseline_league_ppo (misc rewards)_checkpoint_7100000.pth,2422.71,7733,7242,30
league_ppo (score reward)_checkpoint_22200000.pth,2323.51,100,90,0
league_ppo (misc rewards)_checkpoint_6900000.pth,2318.19,100,90,1
league_ppo (score reward)_checkpoint_20100000.pth,2239.97,100,85,0
league_ppo (score reward)_checkpoint_20200000.pth,2231.62,100,76,3
league_ppo (misc rewards)_checkpoint_7000000.pth,2212.94,100,78,1
league_ppo (misc rewards)_checkpoint_5200000.pth,2204.74,100,78,0
league_ppo (misc rewards)_checkpoint_7100000.pth,2198.38,100,84,1
league_ppo (score reward)_checkpoint_22300000.pth,2198.06,100,86,0
league_ppo (misc rewards)_checkpoint_6600000.pth,2194.29,100,75,1
league_ppo_real (score reward)_checkpoint_12500000.pth,2186.76,100,79,1
league_ppo (score reward)_checkpoint_19800000.pth,2182.21,100,77,1
league_ppo (misc rewards)_checkpoint_6000000.pth,2178.70,100,77,0
baseline_league_ppo (score reward)_checkpoint_22000000.pth,2178.11,7658,6426,62
league_ppo_real (score reward)_checkpoint_4100000.pth,2175.97,100,83,1
league_ppo (misc rewards)_checkpoint_5500000.pth,2175.49,100,82,3
league_ppo (misc rewards)_checkpoint_6800000.pth,2165.77,100,76,1
league_ppo (misc rewards)_checkpoint_6200000.pth,2160.54,100,83,1
league_ppo (misc rewards)_checkpoint_4900000.pth,2158.91,100,73,0
league_ppo (score reward)_checkpoint_20300000.pth,2158.73,100,77,3
league_ppo (misc rewards)_checkpoint_6300000.pth,2155.47,100,78,0
league_ppo (misc rewards)_checkpoint_5700000.pth,2153.76,100,66,0
league_ppo (misc rewards)_checkpoint_4400000.pth,2146.98,100,73,0
league_ppo (misc rewards)_checkpoint_4600000.pth,2137.73,100,82,0
league_ppo_real (score reward)_checkpoint_4200000.pth,2135.99,100,79,0
league_ppo (misc rewards)_checkpoint_7200000.pth,2133.35,100,83,1
league_ppo (score reward)_checkpoint_19700000.pth,2132.12,100,79,4
league_ppo_real (score reward)_checkpoint_4400000.pth,2130.99,100,66,2
league_ppo_real (score reward)_checkpoint_12700000.pth,2130.18,100,78,0
league_ppo (misc rewards)_checkpoint_5400000.pth,2129.64,100,68,1
league_ppo_real (score reward)_checkpoint_4800000.pth,2122.48,100,74,1
league_ppo (score reward)_checkpoint_20400000.pth,2118.24,100,78,2
league_ppo (misc rewards)_checkpoint_5900000.pth,2118.19,100,72,1
league_ppo_real (score reward)_checkpoint_4000000.pth,2113.41,100,66,5
league_ppo (score reward)_checkpoint_20000000.pth,2112.17,100,78,1
league_ppo (misc rewards)_checkpoint_6700000.pth,2104.96,100,65,4
league_ppo (misc rewards)_checkpoint_6500000.pth,2103.79,100,66,1
league_ppo (misc rewards)_checkpoint_6400000.pth,2101.36,100,70,0
league_ppo_real (score reward)_checkpoint_5100000.pth,2101.21,100,75,0
league_ppo (misc rewards)_checkpoint_4800000.pth,2101.05,100,71,3
league_ppo (misc rewards)_checkpoint_4500000.pth,2097.14,100,75,0
league_ppo (misc rewards)_checkpoint_7300000.pth,2090.83,100,60,0
league_ppo (misc rewards)_checkpoint_5600000.pth,2089.59,100,73,0
league_ppo (score reward)_checkpoint_29100000.pth,2085.29,100,62,1
league_ppo (misc rewards)_checkpoint_6100000.pth,2078.72,100,70,1
league_ppo_real (score reward)_checkpoint_12600000.pth,2077.03,100,69,0
league_ppo (misc rewards)_checkpoint_5800000.pth,2076.58,100,73,0
league_ppo (misc rewards)_checkpoint_2500000.pth,2072.21,100,62,2
league_ppo (score reward)_checkpoint_19900000.pth,2071.25,100,55,4
league_ppo_real (score reward)_checkpoint_4500000.pth,2067.26,100,62,3
league_ppo_real (score reward)_checkpoint_4600000.pth,2064.49,100,71,1
league_ppo (misc rewards)_checkpoint_5000000.pth,2062.95,100,68,0
league_ppo_real (score reward)_checkpoint_4700000.pth,2061.25,100,62,2
league_ppo (misc rewards)_checkpoint_4300000.pth,2061.04,100,75,0
league_ppo (score reward)_checkpoint_22000000.pth,2060.56,100,75,1
league_ppo_real (score reward)_checkpoint_4300000.pth,2052.56,100,59,4
league_ppo_real (score reward)_checkpoint_5000000.pth,2048.11,100,61,3
baseline_league_ppo_regular (score reward)_checkpoint_4200000.pth,2038.81,7739,5177,183
league_ppo (score reward)_checkpoint_3400000.pth,2037.15,100,64,0
league_ppo_regular (score reward)_checkpoint_12100000.pth,2032.55,100,54,3
league_ppo_real (score reward)_checkpoint_5700000.pth,2029.38,100,53,9
baseline_league_ppo_real (score reward) checkpoint_2100000.pth,2027.09,7900,4681,217
league_ppo (score reward)_checkpoint_4900000.pth,2026.72,100,57,0
league_ppo_regular (score reward)_checkpoint_8800000.pth,2026.28,100,59,0
league_ppo_real (score reward)_checkpoint_5600000.pth,2025.67,100,57,5
league_ppo (score reward)_checkpoint_27900000.pth,2025.35,100,63,1
league_ppo (score reward)_checkpoint_6200000.pth,2022.26,100,53,3
league_ppo_regular (score reward)_checkpoint_13000000.pth,2021.60,100,65,2
league_ppo_regular (score reward)_checkpoint_3800000.pth,2020.59,100,64,0
league_ppo_regular (score reward)_checkpoint_9300000.pth,2018.94,100,55,5
league_ppo_real (score reward)_checkpoint_12300000.pth,2018.88,100,62,2
league_ppo_real (score reward)_checkpoint_12400000.pth,2017.84,100,66,0
league_ppo (score reward)_checkpoint_21800000.pth,2016.05,100,64,6
league_ppo_real (score reward)_checkpoint_5400000.pth,2015.88,100,55,2
league_ppo (score reward)_checkpoint_25200000.pth,2015.23,100,65,0
league_ppo (score reward)_checkpoint_29000000.pth,2013.56,100,49,1
