model,rating,games,wins,draws
baseline_league_ppo (misc rewards)_checkpoint_7100000.pth,2344.03,1959,1906,5
baseline_league_ppo_real (score reward)_checkpoint_12500000.pth,2190.54,2071,1951,14
baseline_league_ppo (score reward)_checkpoint_22000000.pth,2127.91,1985,1852,5
baseline_league_ppo_regular (score reward)_checkpoint_4200000.pth,2080.75,2041,1780,56
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_8300000.pth,2048.05,100,71,0
baseline_league_ppo (score reward)_checkpoint_3800000.pth,2003.18,2004,1636,30
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_14700000.pth,1961.34,100,50,3
baseline_league_ppo (misc rewards)_checkpoint_1100000.pth,1954.35,1936,1500,49
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_17700000.pth,1950.12,100,50,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_17500000.pth,1931.63,100,60,0
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_5400000.pth,1907.15,100,44,4
baseline_league_ppo_regular (score reward)_checkpoint_10100000.pth,1904.13,2004,1533,289
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_8200000.pth,1902.63,100,41,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_19400000.pth,1896.59,100,46,1
baseline_league_ppo_regular (score reward)_checkpoint_1000000.pth,1891.34,2060,1483,97
baseline_league_ppo_real (score reward) checkpoint_2100000.pth,1884.02,2055,1660,44
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_17100000.pth,1881.99,100,49,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_7300000.pth,1877.35,100,42,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_14100000.pth,1873.80,100,41,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_15900000.pth,1871.72,100,42,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_7100000.pth,1864.00,100,42,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_17600000.pth,1861.39,100,36,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_8900000.pth,1856.24,100,38,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_7500000.pth,1856.00,100,43,0
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_5300000.pth,1853.25,100,41,0
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_5000000.pth,1844.82,100,40,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_18900000.pth,1843.86,100,38,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_7000000.pth,1828.46,100,34,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_19500000.pth,1826.70,100,45,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_5500000.pth,1823.06,100,28,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_7900000.pth,1818.43,100,34,0
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_19300000.pth,1818.18,100,29,13
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_7400000.pth,1812.99,100,32,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_19000000.pth,1810.88,100,32,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_5100000.pth,1806.81,100,40,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_19800000.pth,1795.19,100,37,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_11600000.pth,1794.11,100,28,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_8100000.pth,1788.62,100,31,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_16000000.pth,1784.44,100,39,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_19700000.pth,1783.64,100,29,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_19200000.pth,1777.28,100,33,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_5600000.pth,1773.83,100,25,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_20400000.pth,1770.23,100,23,12
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_18800000.pth,1767.58,100,28,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_5200000.pth,1763.94,100,37,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_8800000.pth,1763.33,100,26,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_7700000.pth,1762.00,100,31,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_15700000.pth,1760.97,100,32,9
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_19900000.pth,1758.73,100,20,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_21900000.pth,1757.25,100,19,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_6500000.pth,1756.05,100,26,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_21200000.pth,1752.53,100,27,12
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_17400000.pth,1747.61,100,22,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_17900000.pth,1746.24,100,27,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_6900000.pth,1742.61,100,24,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_5900000.pth,1740.07,100,30,1
baseline_league_ppo (misc rewards)_checkpoint_8300000.pth,1733.88,2031,1064,247
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_4700000.pth,1732.49,100,17,9
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_15400000.pth,1732.32,100,18,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_7600000.pth,1731.55,100,35,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_2600000.pth,1726.83,100,18,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_6300000.pth,1721.19,100,25,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_1200000.pth,1719.04,100,27,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_7200000.pth,1717.59,100,27,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_19600000.pth,1716.99,100,23,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_6700000.pth,1712.85,100,19,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_1900000.pth,1711.66,100,20,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_16600000.pth,1710.30,100,22,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_7800000.pth,1707.44,100,21,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_12900000.pth,1706.85,100,18,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_10700000.pth,1705.96,100,17,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_3600000.pth,1705.78,100,22,8
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_2700000.pth,1704.05,100,21,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_15500000.pth,1703.82,100,16,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_5700000.pth,1701.86,100,14,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_8000000.pth,1695.11,100,21,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_21500000.pth,1691.66,100,13,21
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_9500000.pth,1691.31,100,24,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_11700000.pth,1691.00,100,25,0
