model,rating,games,wins,draws
league_ppo (misc rewards)_checkpoint_7100000.pth,2021.69,648,606,5
league_ppo_real (score reward)_checkpoint_12500000.pth,1989.35,800,734,6
league_ppo (score reward)_checkpoint_22200000.pth,1986.48,216,210,0
league_ppo (misc rewards)_checkpoint_5200000.pth,1969.11,463,415,5
league_ppo (score reward)_checkpoint_20300000.pth,1948.67,233,221,3
league_ppo (score reward)_checkpoint_20000000.pth,1929.88,229,208,5
league_ppo_real (score reward)_checkpoint_4200000.pth,1927.91,305,270,4
league_ppo (misc rewards)_checkpoint_7000000.pth,1927.41,410,374,2
league_ppo (score reward)_checkpoint_19800000.pth,1922.53,218,201,1
league_ppo (misc rewards)_checkpoint_6300000.pth,1911.78,485,418,6
league_ppo (misc rewards)_checkpoint_4400000.pth,1907.15,171,161,3
league_ppo (score reward)_checkpoint_20400000.pth,1895.32,331,286,11
league_ppo (misc rewards)_checkpoint_6000000.pth,1883.85,130,124,0
league_ppo (score reward)_checkpoint_19700000.pth,1883.38,489,424,16
league_ppo (score reward)_checkpoint_20100000.pth,1879.51,185,163,2
league_ppo (misc rewards)_checkpoint_6400000.pth,1872.89,233,203,7
league_ppo (misc rewards)_checkpoint_5500000.pth,1872.63,425,367,13
league_ppo_real (score reward)_checkpoint_4100000.pth,1862.85,555,475,12
league_ppo (misc rewards)_checkpoint_6900000.pth,1862.32,398,349,9
league_ppo_real (score reward)_checkpoint_12600000.pth,1857.50,213,180,2
league_ppo (misc rewards)_checkpoint_4600000.pth,1856.40,128,118,2
league_ppo (misc rewards)_checkpoint_6100000.pth,1851.66,439,387,9
league_ppo (score reward)_checkpoint_22000000.pth,1838.34,468,378,6
league_ppo (misc rewards)_checkpoint_4900000.pth,1836.74,120,111,1
league_ppo (misc rewards)_checkpoint_7200000.pth,1830.60,129,114,0
league_ppo (misc rewards)_checkpoint_6200000.pth,1828.70,870,744,8
league_ppo (score reward)_checkpoint_22300000.pth,1824.69,120,110,3
league_ppo (misc rewards)_checkpoint_4800000.pth,1822.42,186,162,3
league_ppo_real (score reward)_checkpoint_4400000.pth,1820.85,154,134,1
league_ppo (misc rewards)_checkpoint_7300000.pth,1818.75,221,194,1
league_ppo (misc rewards)_checkpoint_6800000.pth,1812.13,619,520,9
league_ppo (misc rewards)_checkpoint_4500000.pth,1811.58,352,306,3
league_ppo (score reward)_checkpoint_20200000.pth,1807.96,136,122,0
league_ppo (score reward)_checkpoint_19900000.pth,1805.81,201,167,7
league_ppo (misc rewards)_checkpoint_5600000.pth,1802.17,909,763,21
league_ppo (misc rewards)_checkpoint_6600000.pth,1798.02,129,112,0
league_ppo_real (score reward)_checkpoint_12700000.pth,1791.01,556,456,8
league_ppo (misc rewards)_checkpoint_5000000.pth,1789.02,150,129,1
league_ppo (misc rewards)_checkpoint_4300000.pth,1788.13,120,104,2
league_ppo_real (score reward)_checkpoint_4300000.pth,1783.78,259,199,11
league_ppo_real (score reward)_checkpoint_5100000.pth,1777.51,661,512,24
league_ppo (misc rewards)_checkpoint_5900000.pth,1776.86,727,581,19
league_ppo_real (score reward)_checkpoint_4500000.pth,1768.14,404,307,4
league_ppo (misc rewards)_checkpoint_5800000.pth,1762.00,71,65,0
league_ppo_regular (score reward)_checkpoint_12400000.pth,1761.21,218,174,7
league_ppo_regular (score reward)_checkpoint_12100000.pth,1747.06,498,367,10
league_ppo_real (score reward)_checkpoint_4000000.pth,1745.40,1117,842,55
league_ppo (score reward)_checkpoint_25900000.pth,1744.26,568,400,14
league_ppo (misc rewards)_checkpoint_5700000.pth,1743.16,103,81,2
league_ppo_real (score reward)_checkpoint_4700000.pth,1741.12,357,276,6
league_ppo (score reward)_checkpoint_26000000.pth,1737.62,160,120,3
league_ppo_regular (score reward)_checkpoint_12600000.pth,1732.89,152,120,2
league_ppo_real (score reward)_checkpoint_3900000.pth,1732.32,165,116,9
league_ppo (score reward)_checkpoint_21800000.pth,1724.49,449,310,16
league_ppo_regular (score reward)_checkpoint_8700000.pth,1723.75,126,98,0
league_ppo_regular (score reward)_checkpoint_9500000.pth,1721.31,405,293,11
league_ppo_regular (score reward)_checkpoint_9400000.pth,1719.83,656,464,24
league_ppo (misc rewards)_checkpoint_5400000.pth,1718.75,255,194,17
league_ppo_regular (score reward)_checkpoint_12500000.pth,1718.51,96,78,2
league_ppo_real (score reward)_checkpoint_12300000.pth,1718.21,151,113,1
league_ppo_regular (score reward)_checkpoint_9200000.pth,1716.08,791,543,25
league_ppo (score reward)_checkpoint_25200000.pth,1714.41,241,175,5
league_ppo (score reward)_checkpoint_28000000.pth,1713.09,174,122,9
league_ppo (score reward)_checkpoint_25800000.pth,1711.80,532,381,3
league_ppo_regular (score reward)_checkpoint_12800000.pth,1710.82,228,155,8
league_ppo (score reward)_checkpoint_25400000.pth,1709.62,226,157,3
league_ppo_real (score reward)_checkpoint_4800000.pth,1707.43,685,479,17
league_ppo_regular (score reward)_checkpoint_12300000.pth,1707.09,400,292,17
league_ppo (score reward)_checkpoint_27200000.pth,1706.43,413,274,13
league_ppo_regular (score reward)_checkpoint_9300000.pth,1704.72,139,110,2
league_ppo (score reward)_checkpoint_27700000.pth,1704.33,521,355,9
league_ppo_regular (score reward)_checkpoint_8800000.pth,1698.89,649,433,30
league_ppo_regular (score reward)_checkpoint_3700000.pth,1695.60,366,263,6
league_ppo_regular (score reward)_checkpoint_7000000.pth,1693.56,681,408,22
league_ppo_regular (score reward)_checkpoint_3500000.pth,1692.37,381,269,4
league_ppo (score reward)_checkpoint_6500000.pth,1691.86,90,71,0
league_ppo_regular (score reward)_checkpoint_10000000.pth,1691.78,82,65,0
league_ppo_regular (score reward)_checkpoint_3100000.pth,1680.77,750,502,8
league_ppo_regular (score reward)_checkpoint_7900000.pth,1679.64,129,83,7
league_ppo_regular (score reward)_checkpoint_9600000.pth,1677.77,712,446,33
league_ppo (score reward)_checkpoint_29200000.pth,1676.90,231,165,5
league_ppo_regular (score reward)_checkpoint_8000000.pth,1676.31,434,284,22
league_ppo_real (score reward)_checkpoint_3100000.pth,1675.58,167,116,1
league_ppo_regular (score reward)_checkpoint_10200000.pth,1674.95,131,94,3
league_ppo_regular (score reward)_checkpoint_3400000.pth,1674.47,386,266,6
league_ppo (score reward)_checkpoint_28700000.pth,1674.44,197,138,9
league_ppo_regular (score reward)_checkpoint_6600000.pth,1673.98,249,170,1
league_ppo (score reward)_checkpoint_26700000.pth,1673.96,327,206,6
league_ppo_regular (score reward)_checkpoint_9800000.pth,1670.43,263,171,17
league_ppo_regular (score reward)_checkpoint_9000000.pth,1669.28,89,65,3
league_ppo (score reward)_checkpoint_25700000.pth,1668.57,237,161,5
league_ppo_regular (score reward)_checkpoint_10300000.pth,1668.47,119,85,4
league_ppo (score reward)_checkpoint_29000000.pth,1667.85,288,208,10
league_ppo (score reward)_checkpoint_27000000.pth,1667.68,78,61,0
league_ppo_regular (score reward)_checkpoint_12700000.pth,1665.54,265,184,9
league_ppo (score reward)_checkpoint_25300000.pth,1665.20,122,87,2
league_ppo_regular (score reward)_checkpoint_12000000.pth,1664.53,260,170,20
league_ppo_real (score reward)_checkpoint_12800000.pth,1663.96,135,97,2
league_ppo_real (score reward)_checkpoint_4600000.pth,1661.83,399,291,5
league_ppo (score reward)_checkpoint_4300000.pth,1660.98,401,254,7
league_ppo_regular (score reward)_checkpoint_9900000.pth,1660.31,167,110,11
league_ppo (score reward)_checkpoint_6700000.pth,1658.33,94,66,0
league_ppo_regular (score reward)_checkpoint_9100000.pth,1658.12,202,135,9
league_ppo (misc rewards)_checkpoint_6500000.pth,1657.66,170,114,5
league_ppo_regular (score reward)_checkpoint_2600000.pth,1657.25,221,149,2
league_ppo_regular (score reward)_checkpoint_4600000.pth,1656.88,149,102,4
league_ppo_regular (score reward)_checkpoint_12200000.pth,1656.48,335,214,21
league_ppo (score reward)_checkpoint_26400000.pth,1654.28,342,228,11
league_ppo (score reward)_checkpoint_29400000.pth,1652.98,120,86,3
league_ppo (score reward)_checkpoint_25500000.pth,1652.49,111,75,2
league_ppo_regular (score reward)_checkpoint_3000000.pth,1649.42,353,242,5
league_ppo_regular (score reward)_checkpoint_4400000.pth,1649.24,160,109,5
league_ppo_real (score reward)_checkpoint_12400000.pth,1646.96,132,90,2
league_ppo (score reward)_checkpoint_27100000.pth,1646.34,227,146,3
league_ppo (score reward)_checkpoint_29300000.pth,1646.07,216,147,3
league_ppo (score reward)_checkpoint_28500000.pth,1645.63,398,222,6
league_ppo_real (score reward)_checkpoint_3700000.pth,1644.85,656,407,12
league_ppo_regular (score reward)_checkpoint_12900000.pth,1643.84,220,136,18
league_ppo (score reward)_checkpoint_6600000.pth,1643.13,336,226,6
league_ppo (score reward)_checkpoint_27300000.pth,1643.11,205,131,0
league_ppo_regular (score reward)_checkpoint_7500000.pth,1641.92,354,218,14
